"","X1","id","price","type","sqfeet","beds","baths","cats_allowed","dogs_allowed","smoking_allowed","wheelchair_access","comes_furnished","state","State Name","MedianIncome","Governor","Pop","LandArea(sqmi)","PopDensity","TaxRate","DeathPenalty","PctWhite","PctBlack"
"1201",89993,7042081155,1393,"apartment",966,2,2,1,1,1,0,0,"fl","Florida",55462,"R",21477737,65758,326.6179,1.05,1,53.8,15.4
"1202",107243,7045146838,1020,"apartment",672,1,1,0,0,1,0,0,"ga","Georgia",58756,"R",10617423,59425,178.6693,0.86,1,52.6,31.1
"1203",82326,7046850785,1015,"apartment",1300,3,2,1,1,1,0,0,"fl","Florida",55462,"R",21477737,65758,326.6179,1.05,1,53.8,15.4
"1204",292312,7047778963,1560,"apartment",550,1,1,1,1,1,0,0,"pa","Pennslyvania",60905,"D",12787641,46054,277.6662,1.89,1,76.4,10.7
"1205",158937,7045672928,785,"apartment",950,2,2,1,1,1,0,0,"ky","Kentucky",50247,"D",4467673,40408,110.5641,0.74,1,84.6,8
"1206",182434,7050837497,1500,"apartment",1400,2,1,0,0,0,0,0,"mi","Michigan",56697,"D",9986857,96714,103.2618,1.52,0,75,13.6
"1207",55905,7036184413,1569,"apartment",830,1,1,1,1,0,0,0,"co","Colorado",71953,"D",5758736,104094,55.32246,0.52,0,68.2,3.9
"1208",355554,7035222762,1299,"apartment",993,2,2,1,1,1,0,0,"ut","Utah",71414,"R",3101042,84897,36.52711,0.65,1,78.3,1.2
"1209",134628,7047382693,840,"apartment",940,3,1,1,1,1,1,0,"il","Illinois",65030,"D",12671821,57914,218.8041,2.13,0,61.2,14
"1210",43672,7049632032,3040,"apartment",1968,4,4,1,1,1,0,0,"ca","California",75277,"D",39512223,163695,241.3770915,0.77,1,37,5.5
"1211",333443,7047549479,1060,"apartment",908,2,2,1,1,0,0,0,"tx","Texas",60629,"R",28295273,268596,105.3451,2.06,1,41.9,11.8
"1212",194260,7020534706,867,"apartment",970,2,1,1,1,1,0,0,"mi","Michigan",56697,"D",9986857,96714,103.2618,1.52,0,75,13.6
